order,test_id,question_hash,forensic_request_id,capture_path,capture_sha256,capture_bytes,exactly_one_capture
1,T3,a0e8f0928b7bf441baffec060ff2ee2ecee18ec5a61296ba579db93f5bea68a8,f5934c444ebe4b9fb6e9e4c703f95c1d,artifacts/ragbench/canonical/openai-ui-targeted-forensic-replay-v1/03-captures/records/f5934c444ebe4b9fb6e9e4c703f95c1d.json,013fd6ad3a3406c4cf3a1dfdb63735b5e4c252b6032322f0d088eba4be71e751,88984,True
2,T4,27d57c7da78469645b6b74ce6d53f3255fb0839529053479986c3d081bafee73,df37251feb374931b55858979ff0a0c0,artifacts/ragbench/canonical/openai-ui-targeted-forensic-replay-v1/03-captures/records/df37251feb374931b55858979ff0a0c0.json,5c9f67e9df18eeefad2f872f6fbfed2640734edd8da471a50f7a325e4320955b,81306,True
3,T5,82e87c0ed70c25f3d7b6b9ce3749ad4c3ba13ca76f8a60f7ebd6335bbe1fe334,aa28cf0cbf09465e9c7c52b5dd1e2125,artifacts/ragbench/canonical/openai-ui-targeted-forensic-replay-v1/03-captures/records/aa28cf0cbf09465e9c7c52b5dd1e2125.json,cfe95bdf26afbf6916fd200a8da261e58cbbaa09acf1a9e764a8d1988e6e2eb0,63169,True
4,T6,f7b5b22acce69f5c215b0245c0ef4f011dce3d68ecdc59a79ec1b4dde16ae69f,bedd3eebd5bb41a1a9bae3c6d2203a21,artifacts/ragbench/canonical/openai-ui-targeted-forensic-replay-v1/03-captures/records/bedd3eebd5bb41a1a9bae3c6d2203a21.json,f7c428ba882ad7ea1aa7ecc410a2b10daa6a7286b3cdb79aeb60912ecb8aa701,77176,True
5,T10,d749a9d102e7870dd0e4f422430ce950f751024d71ebba77960e890992abddcc,09d8d5bad509484b86028b6ef93ea1bd,artifacts/ragbench/canonical/openai-ui-targeted-forensic-replay-v1/03-captures/records/09d8d5bad509484b86028b6ef93ea1bd.json,270c865f68eb75ba207e2bff7641b76e6112a66e459f9f38d7d0d02414b2ad4e,95988,True
