dimension,group,feature,n,mean,median,p25,p75,p90,p95
category,unanswerable,mean_top3_score,30,0.010876,0.010863,0.006078,0.015554,0.019174,0.022591
category,unanswerable,distinct_source_count_top5,30,3.333333,3.0,3,4,4,5
category,unanswerable,dense_sparse_agreement,0,,,,,,
category,unanswerable,authorized_candidate_count,30,20,20.0,20,20,20,20
category,version_conflict,top1_score,8,0.350811,0.279492,0.169419,0.561762,0.590101,0.704165
category,version_conflict,top1_top2_margin,8,0.143038,0.132265,0.108955,0.142746,0.221385,0.248992
category,version_conflict,mean_top3_score,8,0.242807,0.181363,0.066084,0.39495,0.405778,0.620975
category,version_conflict,distinct_source_count_top5,8,3.25,3.5,3,4,4,4
category,version_conflict,dense_sparse_agreement,0,,,,,,
category,version_conflict,authorized_candidate_count,8,20,20.0,20,20,20,20
